iter	Passed	Remaining
649	3030	1631
650	3035	1627
651	3039	1622
652	3043	1617
653	3048	1612
654	3052	1607
655	3056	1602
656	3061	1598
657	3066	1593
658	3070	1588
659	3074	1583
660	3078	1579
661	3083	1574
662	3087	1569
663	3091	1564
664	3096	1560
665	3101	1555
666	3105	1550
667	3109	1545
668	3114	1540
669	3118	1535
670	3122	1531
671	3128	1526
672	3132	1521
673	3136	1517
674	3141	1512
675	3145	1507
676	3150	1502
677	3154	1498
678	3158	1493
679	3163	1488
680	3168	1484
681	3173	1479
682	3180	1476
683	3186	1472
684	3190	1467
685	3195	1462
686	3200	1458
687	3204	1453
688	3209	1448
689	3213	1443
690	3218	1439
691	3222	1434
692	3227	1429
693	3231	1424
694	3235	1419
695	3239	1414
696	3244	1410
697	3248	1405
698	3252	1400
699	3257	1395
700	3262	1391
701	3266	1386
702	3270	1381
703	3275	1377
704	3279	1372
705	3283	1367
706	3287	1362
707	3292	1357
708	3296	1353
709	3301	1348
710	3305	1343
711	3310	1339
712	3314	1334
713	3318	1329
714	3324	1324
715	3329	1320
716	3334	1316
717	3340	1312
718	3345	1307
719	3349	1302
720	3354	1298
721	3360	1293
722	3364	1289
723	3368	1284
724	3373	1279
725	3378	1275
726	3382	1270
727	3386	1265
728	3392	1261
729	3396	1256
730	3400	1251
731	3405	1246
732	3410	1242
733	3414	1237
734	3418	1232
735	3424	1228
736	3427	1223
737	3431	1218
738	3435	1213
739	3441	1209
740	3445	1204
741	3449	1199
742	3453	1194
743	3458	1190
744	3462	1185
745	3466	1180
746	3471	1175
747	3477	1171
748	3483	1167
749	3491	1163
750	3495	1158
751	3499	1154
752	3505	1149
753	3509	1144
754	3513	1140
755	3519	1136
756	3525	1131
757	3529	1126
758	3533	1121
759	3539	1117
760	3543	1112
761	3547	1107
762	3553	1103
763	3558	1099
764	3561	1094
765	3565	1089
766	3572	1085
767	3575	1080
768	3579	1075
769	3586	1071
770	3591	1066
771	3595	1061
772	3599	1057
773	3605	1052
774	3609	1047
775	3613	1043
776	3619	1038
777	3623	1033
778	3626	1028
779	3630	1024
780	3637	1019
781	3642	1015
782	3649	1011
783	3654	1006
784	3658	1002
785	3662	997
786	3668	992
787	3672	987
788	3677	983
789	3686	979
790	3690	975
791	3695	970
792	3702	966
793	3706	961
794	3710	956
795	3715	952
796	3720	947
797	3724	942
798	3728	937
799	3733	933
800	3738	928
801	3742	923
802	3747	919
803	3752	914
804	3756	909
805	3759	904
806	3766	900
807	3770	895
808	3774	891
809	3778	886
810	3784	881
811	3790	877
812	3798	873
813	3802	868
814	3806	864
815	3811	859
816	3816	854
817	3820	850
818	3824	845
819	3830	840
820	3834	835
821	3837	831
822	3841	826
823	3847	821
824	3851	816
825	3855	812
826	3860	807
827	3865	802
828	3869	798
829	3872	793
830	3878	788
831	3883	784
832	3886	779
833	3891	774
834	3897	770
835	3901	765
836	3904	760
837	3910	755
838	3914	751
839	3918	746
840	3921	741
841	3927	737
842	3931	732
843	3935	727
844	3940	722
845	3947	718
846	3953	714
847	3960	709
848	3964	705
849	3968	700
850	3975	695
851	3980	691
852	3984	686
853	3990	682
854	3995	677
855	4000	672
856	4005	668
857	4010	663
858	4015	659
859	4018	654
860	4024	649
861	4028	644
862	4032	640
863	4036	635
864	4041	630
865	4045	626
866	4049	621
867	4053	616
868	4058	611
869	4062	607
870	4066	602
871	4071	597
872	4075	592
873	4079	588
874	4083	583
875	4088	578
876	4093	574
877	4098	569
878	4103	564
879	4110	560
880	4114	555
881	4118	550
882	4123	546
883	4127	541
884	4131	536
885	4136	532
886	4141	527
887	4145	522
888	4150	518
889	4155	513
890	4159	508
891	4163	504
892	4167	499
893	4172	494
894	4175	489
895	4179	485
896	4184	480
897	4189	475
898	4193	471
899	4198	466
900	4205	462
901	4209	457
902	4215	452
903	4221	448
904	4225	443
905	4230	438
906	4236	434
907	4270	432
908	4276	428
909	4283	423
910	4291	419
911	4306	415
912	4316	411
913	4322	406
914	4331	402
